aircraft_id,bomb_id,display_name,nation_guess,mass_kg,mass_bucket,explosive_mass_kg,caliber_mm,drag_coef,length_m,diameter_m,velocity_limit,source_file,preset_names,match_source,is_matched,sandbox_allowed,notes
b5n2,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,b5n2_default | b5n2_mark2_6x_type97mod6_bombs | b5n2_mark2_bombs | b5n2_mod80mk1_bomb | b5n2_type91mod2_torpedo | b5n2_type91mod3_torpedo | b5n2_type97mod6_bombs | b5n2_type98_6x_type97mod6_bombs | b5n2_type98_bombs | b5n2_type99mod80_bomb,weaponPresets_bombguns_structural,yes,yes,
b5n2,jp_navy_type98mod25_250kg,jp_navy_type98mod25_250kg,Japan,242.2,100-249 kg,96.6,0.304,,1.828,,,jp_navy_type98mod25_250kg.blkx,b5n2_default | b5n2_mark2_6x_type97mod6_bombs | b5n2_mark2_bombs | b5n2_mod80mk1_bomb | b5n2_type91mod2_torpedo | b5n2_type91mod3_torpedo | b5n2_type97mod6_bombs | b5n2_type98_6x_type97mod6_bombs | b5n2_type98_bombs | b5n2_type99mod80_bomb,weaponPresets_bombguns_structural,yes,yes,
b5n2,jp_navy_type99mod80_800kg,jp_navy_type99mod80_800kg,Japan,796.8,500-999 kg,22.8,0.4064,,2.413,,,jp_navy_type99mod80_800kg.blkx,b5n2_default | b5n2_mark2_6x_type97mod6_bombs | b5n2_mark2_bombs | b5n2_mod80mk1_bomb | b5n2_type91mod2_torpedo | b5n2_type91mod3_torpedo | b5n2_type97mod6_bombs | b5n2_type98_6x_type97mod6_bombs | b5n2_type98_bombs | b5n2_type99mod80_bomb,weaponPresets_bombguns_structural,yes,yes,
b6n1,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,b6n1_250kg_mod25mark2 | b6n1_800kg_mod80mk1 | b6n1_default | b6n1_type91mod2_torpedo | b6n1_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n1,jp_navy_mod80mark1_800kg,jp_navy_mod80mark1_800kg,Japan,805.0,500-999 kg,382.0,0.449,,2.829,,,jp_navy_mod80mark1_800kg.blkx,b6n1_250kg_mod25mark2 | b6n1_800kg_mod80mk1 | b6n1_default | b6n1_type91mod2_torpedo | b6n1_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n1,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,b6n1_250kg_mod25mark2 | b6n1_800kg_mod80mk1 | b6n1_default | b6n1_type91mod2_torpedo | b6n1_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n2,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,b6n2_250kg_mod25mark2 | b6n2_800kg_mod80mk1 | b6n2_default | b6n2_type91mod2_torpedo | b6n2_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n2,jp_navy_mod80mark1_800kg,jp_navy_mod80mark1_800kg,Japan,805.0,500-999 kg,382.0,0.449,,2.829,,,jp_navy_mod80mark1_800kg.blkx,b6n2_250kg_mod25mark2 | b6n2_800kg_mod80mk1 | b6n2_default | b6n2_type91mod2_torpedo | b6n2_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n2,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,b6n2_250kg_mod25mark2 | b6n2_800kg_mod80mk1 | b6n2_default | b6n2_type91mod2_torpedo | b6n2_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n2a,jp_navy_mod25mark2_250kg,jp_navy_mod25mark2_250kg,Japan,257.0,250-499 kg,111.0,0.358,,1.813,,,jp_navy_mod25mark2_250kg.blkx,b6n2a_250kg_mod25mark2 | b6n2a_800kg_mod80mk1 | b6n2a_default | b6n2a_type91mod2_torpedo | b6n2a_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n2a,jp_navy_mod80mark1_800kg,jp_navy_mod80mark1_800kg,Japan,805.0,500-999 kg,382.0,0.449,,2.829,,,jp_navy_mod80mark1_800kg.blkx,b6n2a_250kg_mod25mark2 | b6n2a_800kg_mod80mk1 | b6n2a_default | b6n2a_type91mod2_torpedo | b6n2a_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b6n2a,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,b6n2a_250kg_mod25mark2 | b6n2a_800kg_mod80mk1 | b6n2a_default | b6n2a_type91mod2_torpedo | b6n2a_type91mod3_torpedo,weaponPresets_bombguns_structural,yes,yes,
b7a2,jp_navy_mod80mark1_800kg,jp_navy_mod80mark1_800kg,Japan,805.0,500-999 kg,382.0,0.449,,2.829,,,jp_navy_mod80mark1_800kg.blkx,b7a2_10xmod6_bombs | b7a2_2xtype98_4xmod6_bombs | b7a2_mod80mk1_bomb | b7a2_type91mod2_torpedo,weaponPresets_bombguns_structural,yes,yes,
b7a2,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,b7a2_10xmod6_bombs | b7a2_2xtype98_4xmod6_bombs | b7a2_mod80mk1_bomb | b7a2_type91mod2_torpedo,weaponPresets_bombguns_structural,yes,yes,
b7a2,jp_navy_type98mod25_250kg,jp_navy_type98mod25_250kg,Japan,242.2,100-249 kg,96.6,0.304,,1.828,,,jp_navy_type98mod25_250kg.blkx,b7a2_10xmod6_bombs | b7a2_2xtype98_4xmod6_bombs | b7a2_mod80mk1_bomb | b7a2_type91mod2_torpedo,weaponPresets_bombguns_structural,yes,yes,
b7a2_homare_23,jp_navy_mod80mark1_800kg,jp_navy_mod80mark1_800kg,Japan,805.0,500-999 kg,382.0,0.449,,2.829,,,jp_navy_mod80mark1_800kg.blkx,b7a2_10xmod6_bombs | b7a2_2xtype98_4xmod6_bombs | b7a2_mod80mk1_bomb | b7a2_type91mod2_torpedo,weaponPresets_bombguns_structural,yes,yes,
b7a2_homare_23,jp_navy_type97mod6_60kg,jp_navy_type97mod6_60kg,Japan,60.4,<100 kg,23.6,0.199,,1.016,,,jp_navy_type97mod6_60kg.blkx,b7a2_10xmod6_bombs | b7a2_2xtype98_4xmod6_bombs | b7a2_mod80mk1_bomb | b7a2_type91mod2_torpedo,weaponPresets_bombguns_structural,yes,yes,
b7a2_homare_23,jp_navy_type98mod25_250kg,jp_navy_type98mod25_250kg,Japan,242.2,100-249 kg,96.6,0.304,,1.828,,,jp_navy_type98mod25_250kg.blkx,b7a2_10xmod6_bombs | b7a2_2xtype98_4xmod6_bombs | b7a2_mod80mk1_bomb | b7a2_type91mod2_torpedo,weaponPresets_bombguns_structural,yes,yes,
b_10b,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,b_10b_1000lb | b_10b_2000lb | b_10b_250lb | b_10b_500lb,weaponPresets_bombguns_structural,yes,yes,
b_10b,us_2000lbs_anm66,us_2000lbs_anm66,USA,996.3,500-999 kg,535.6,0.591,,2.357,,,us_2000lbs_anm66.blkx,b_10b_1000lb | b_10b_2000lb | b_10b_250lb | b_10b_500lb,weaponPresets_bombguns_structural,yes,yes,
b_10b,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,b_10b_1000lb | b_10b_2000lb | b_10b_250lb | b_10b_500lb,weaponPresets_bombguns_structural,yes,yes,
b_10b,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,b_10b_1000lb | b_10b_2000lb | b_10b_250lb | b_10b_500lb,weaponPresets_bombguns_structural,yes,yes,
b_17e,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e,us_2000lbs_anm66,us_2000lbs_anm66,USA,996.3,500-999 kg,535.6,0.591,,2.357,,,us_2000lbs_anm66.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e_japan,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,b-17e_japan_16x500lbs | b-17e_japan_8x1000lbs | b-17e_japan_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e_japan,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,b-17e_japan_16x500lbs | b-17e_japan_8x1000lbs | b-17e_japan_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e_late,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e_late,us_2000lbs_anm66,us_2000lbs_anm66,USA,996.3,500-999 kg,535.6,0.591,,2.357,,,us_2000lbs_anm66.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e_late,us_250lb_anm57,us_250lb_anm57,USA,117.9,100-249 kg,58.5,0.274,,1.214,,,us_250lb_anm57.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17e_late,us_500lb_anm64a1,us_500lb_anm64a1,USA,242.6,100-249 kg,124.28,0.36,,1.503,,,us_500lb_anm64a1.blkx,B-17e_default | b-17e_16x500lbs | b-17e_2x2000lbs | b-17e_8x1000lbs | b-17e_8x500lbs,weaponPresets_bombguns_structural,yes,yes,
b_17g,us_1000lb_anm65a1,us_1000lb_anm65a1,USA,500.76,500-999 kg,269.9,0.477,,1.765,,,us_1000lb_anm65a1.blkx,B17G_16x500lbs | B17G_2x2000lbs | B17G_4x2000lbs | B17G_6x1000_2x1000lbs | B17G_8x1000lbs | B17G_8x500lbs | B17G_default | b-17g_10x600lbs | b-17g_2x1600lbs | b-17g_2x4000lbs | b-17g_4x1000lbs_ap,weaponPresets_bombguns_structural,yes,yes,
b_17g,us_1000lb_anmk33_box_ap,us_1000lb_anmk33_box_ap,USA,457.22,250-499 kg,63.5,0.3048,,1.8542,,,us_1000lb_anmk33_box_ap.blkx,B17G_16x500lbs | B17G_2x2000lbs | B17G_4x2000lbs | B17G_6x1000_2x1000lbs | B17G_8x1000lbs | B17G_8x500lbs | B17G_default | b-17g_10x600lbs | b-17g_2x1600lbs | b-17g_2x4000lbs | b-17g_4x1000lbs_ap,weaponPresets_bombguns_structural,yes,yes,
